ID,span_rabbis_text,first_rabbi,first_rabbi_no_prefix,first_rabbi_after_link,second_rabbi,second_rabbi_no_prefix,second_rabbi_after_link,rabbis_after_link_alpha_order,interval_text,token_string,numb_intervening_tokens,masechet,start_span,end_span,amud,exist_before_new_markers_start_span,first_rabbi_after_link_id,second_rabbi_after_link_id
50,משמע לן.  ואימא הכי נמי אמר ^רבי אבהו אמר רבי יוחנן^ אמר קרא ומתו גם שניהם,רבי אבהו,רבי אבהו,רבי אבהו,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבי אבהו-רבי יוחנן, אמר ,אמר,1,Arakhin,20476,20497,7A,20476,92,1570
51,כיון דעקר גופא אחרינא הוא.  אמר ^רב יהודה אמר שמואל^ האשה היוצאה ליהרג מכין אותה,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,שמואל,שמואל,שמואל,רב יהודה בר יחזקאל-שמואל, אמר ,אמר,1,Arakhin,20662,20679,7A,20662,1394,2763
52,מידי דהוי אזנב הלטאה דמפרכסת.  אמר ^רב נחמן אמר שמואל^ האשה שישבה על המשבר ומתה,רב נחמן,רב נחמן,רב נחמן בר יעקב,שמואל,שמואל,שמואל,רב נחמן בר יעקב-שמואל, אמר ,אמר,1,Arakhin,21182,21198,7A,21182,2285,2763
76,ויחיד גומר בהן את ההלל.  דאמר ^רבי יוחנן משום רבי שמעון בן יהוצדק^ שמונה עשר ימים שהיחיד גומר,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבי שמעון בן יהוצדק,רבי שמעון בן יהוצדק,רבי שמעון בן יהוצדק,רבי יוחנן-רבי שמעון בן יהוצדק, משום ,משום,1,Arakhin,29035,29068,10A,29035,1570,2865
80,שקולו ערב ומערבב את הנעימה.  אמר ^רבא בר שילא אמר רב מתנה^ אמר שמואל מגריפה היתה במקדש,רבא בר שילא,רבא בר שילא,רבא בר שילא,רב מתנה,רב מתנה,רב מתנה,רב מתנה-רבא בר שילא, אמר ,אמר,1,Arakhin,31666,31688,10B,31666,21349,2225
81,הנעימה.  אמר רבא בר שילא אמר ^רב מתנה אמר שמואל^ מגריפה היתה במקדש,רב מתנה,רב מתנה,רב מתנה,שמואל,שמואל,שמואל,רב מתנה-שמואל, אמר ,אמר,1,Arakhin,31682,31698,10B,31682,2225,2763
83,כפרה ביום אף שירה ביום.  אמר ^רב יהודה אמר שמואל^ מנין לעיקר שירה מן התורה,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,שמואל,שמואל,שמואל,רב יהודה בר יחזקאל-שמואל, אמר ,אמר,1,Arakhin,32734,32751,11A,32734,1394,2763
84,טוב טוב מהכא.  איני והא אמר ^רבי שמואל בר נחמני אמר רבי יונתן^ מנין שאין אומרים שירה אלא,רבי שמואל בר נחמני,רבי שמואל בר נחמני,רבי שמואל בר נחמני,רבי יונתן,רבי יונתן,רבי יונתן בן אלעזר איש הבירה,רבי יונתן בן אלעזר איש הבירה-רבי שמואל בר נחמני, אמר ,אמר,1,Arakhin,33234,33265,11A,33234,2800,1624
95,רב הונא ואמרי לה אמר ^רב זבדי אמר רב הונא^ עד מאה ועשרים שנאמר ועמהם,רב זבדי,רב זבדי,רב זבדי,רב הונא,רב הונא,רב הונא,רב הונא-רב זבדי, אמר ,אמר,1,Arakhin,40854,40872,13B,40854,988,895
101,כדרב יהודה אמר רב דאמר ^רב יהודה אמר רב^ אסור לאדם שיאמר כמה נאה,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב,רב,רב,רב-רב יהודה בר יחזקאל, אמר ,אמר,1,Arakhin,42807,42821,14A,42807,1394,2578
110,יכול להוציא כליו משם.  אלא אמר ^רבה אמר ריש לקיש^ אמר קרא וימותו האנשים מוצאי,רבה,רבה,רבה בר נחמני,ריש לקיש,ריש לקיש,רבי שמעון בן לקיש,רבה בר נחמני-רבי שמעון בן לקיש, אמר ,אמר,1,Arakhin,48933,48948,15A,48933,2581,2879
113,בקרבו.  בעגל כדאיתיה במדבר פארן כדאיתיה.  אמר ^רבי יוחנן משום רבי יוסי בן זימרא^ מאי דכתיב מה יתן לך,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבי יוסי בן זימרא,רבי יוסי בן זימרא,רבי יוסי בן זימרא,רבי יוחנן-רבי יוסי בן זימרא, משום ,משום,1,Arakhin,50062,50093,15B,50062,1570,22339
114,ומה יסיף לך לשון רמיה.  אמר ^רבי יוחנן משום רבי יוסי בן זימרא^ כל המספר לשון הרע כאילו,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבי יוסי בן זימרא,רבי יוסי בן זימרא,רבי יוסי בן זימרא,רבי יוחנן-רבי יוסי בן זימרא, משום ,משום,1,Arakhin,50325,50356,15B,50325,1570,22339
115,בשמים פיהם ולשונם תהלך בארץ.  אמר ^רב חסדא אמר מר עוקבא^ כל המספר לשון הרע ראוי,רב חסדא,רב חסדא,רב חסדא,מר עוקבא,מר עוקבא,מר עוקבא,מר עוקבא-רב חסדא, אמר ,אמר,1,Arakhin,51001,51020,15B,51001,1345,2423
116,בבור חיי וידו אבן בי.  ואמר ^רב חסדא אמר מר עוקבא^ כל המספר לשון הרע אמר,רב חסדא,רב חסדא,רב חסדא,מר עוקבא,מר עוקבא,מר עוקבא,מר עוקבא-רב חסדא, אמר ,אמר,1,Arakhin,51120,51139,15B,51120,1345,2423
117,דמתני לה על גסי הרוח.  אמר ^רב חסדא אמר מר עוקבא^ כל המספר לשון הרע אומר,רב חסדא,רב חסדא,רב חסדא,מר עוקבא,מר עוקבא,מר עוקבא,מר עוקבא-רב חסדא, אמר ,אמר,1,Arakhin,51344,51363,15B,51344,1345,2423
120,ואי הוה שמיעא לי קיימתה.  אמר ^רבי שמואל בר נחמני אמר רבי יוחנן^ על שבעה דברים נגעים באין,רבי שמואל בר נחמני,רבי שמואל בר נחמני,רבי שמואל בר נחמני,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבי יוחנן-רבי שמואל בר נחמני, אמר ,אמר,1,Arakhin,53888,53919,16A,53888,2800,1570
122,לא אהנו מעשיו מעיל מכפר.  והאמר ^רבי סימון אמר רבי יהושע בן לוי^ שני דברים לא מצינו להם,רבי סימון,רבי סימון,רבי שמעון בן פזי,רבי יהושע בן לוי,רבי יהושע בן לוי,רבי יהושע בן לוי,רבי יהושע בן לוי-רבי שמעון בן פזי, אמר ,אמר,1,Arakhin,55259,55288,16A,55259,2891,1544
127,שלא לשמה נמי עדיפא דאמר ^רב יהודה אמר רב^ לעולם יעסוק אדם בתורה ובמצות,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב,רב,רב,רב-רב יהודה בר יחזקאל, אמר ,אמר,1,Arakhin,57013,57027,16B,57013,1394,2578
138,דאמר מר אכסנאי פוגם ונפגם.  אמר ^רב יהודה אמר רב^ מנין שלא ישנה אדם באכסניא,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב,רב,רב,רב-רב יהודה בר יחזקאל, אמר ,אמר,1,Arakhin,58148,58162,16B,58148,1394,2578
143,הוה מעלי ודריה הוה מעלי.  דאמר ^רבי יוחנן משום רבי שמעון בן יוחי^ מאי דכתיב בראשית ממלכות יהויקים,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבי שמעון בן יוחי,רבי שמעון בן יוחי,רבי שמעון בן יוחאי,רבי יוחנן-רבי שמעון בן יוחאי, משום ,משום,1,Arakhin,59558,59589,17A,59558,1570,2830
145,אחר צפרים.  הא אתמר עלה אמר ^רב יהודה אמר רב^ ושלשתן מקרא אחד דרשו אשר,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב,רב,רב,רב-רב יהודה בר יחזקאל, אמר ,אמר,1,Arakhin,61935,61949,17B,61935,1394,2578
148,מעת לעת למאי הילכתא אמר ^רב גידל אמר רב^ לערכין רב יוסף אמר לפרקין,רב גידל,רב גידל,רב גידל,רב,רב,רב,רב-רב גידל, אמר ,אמר,1,Arakhin,65448,65461,18B,65448,820,2578
153,ידי ורגלי עלי וכו׳ אמר ^רב גידל אמר רב^ ונותן דמיה,רב גידל,רב גידל,רב גידל,רב,רב,רב,רב-רב גידל, אמר ,אמר,1,Arakhin,70756,70769,20A,70756,820,2578
154,מאיר.  הא אמרה חדא זימנא דאמר ^רב גידל אמר רב^ האומר ערך כלי זה עלי,רב גידל,רב גידל,רב גידל,רב,רב,רב,רב-רב גידל, אמר ,אמר,1,Arakhin,70869,70882,20A,70869,820,2578
161,דבר שלא בא לעולם אמר ^רב יהודה אמר רב^ הא מני רבי מאיר היא,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב,רב,רב,רב-רב יהודה בר יחזקאל, אמר ,אמר,1,Arakhin,73054,73068,20B,73054,1394,2578
167,מקדיש דבר שלא בא לעולם.  אמר ^רב יהודה אמר רב^ הא מני רבי מאיר היא,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב,רב,רב,רב-רב יהודה בר יחזקאל, אמר ,אמר,1,Arakhin,73692,73706,21A,73692,1394,2578
177,מאי שנא בבקר ובערב אמר ^רב יהודה אמר רב^ בשעת הוצאת פועלים ובשעת הכנסת,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב,רב,רב,רב-רב יהודה בר יחזקאל, אמר ,אמר,1,Arakhin,76000,76014,21B,76000,1394,2578
179,ואחד זה ששים יום אמר ^רב חסדא אמר אבימי^ הלכה שום היתומים ששים יום,רב חסדא,רב חסדא,רב חסדא,אבימי,אבימי,אבימי,אבימי-רב חסדא, אמר ,אמר,1,Arakhin,76717,76733,22A,76717,1345,129
187,כיון דמשכא מילתא שמעי אינשי.  אמר ^רב יהודה אמר רב אסי^ אין נזקקין לנכסי יתומים אלא,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב אסי,רב אסי,רב אסי,רב אסי-רב יהודה בר יחזקאל, אמר ,אמר,1,Arakhin,77184,77202,22A,77184,1394,534
193,כדרב יהודה אמר שמואל דאמר ^רב יהודה אמר שמואל^ התובעת כתובתה בבית דין אין,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,שמואל,שמואל,שמואל,רב יהודה בר יחזקאל-שמואל, אמר ,אמר,1,Arakhin,77840,77857,22A,77840,1394,2763
200,אמר ליה רבינא לאמימר והאמר ^רב יהודה אמר רב אסי^ אין נזקקין לנכסי יתומין אלא,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב אסי,רב אסי,רב אסי,רב אסי-רב יהודה בר יחזקאל, אמר ,אמר,1,Arakhin,78892,78910,22A,78892,1394,534
229,פודה ורבנן עד כמה אמר ^רב הונא בר יהודה אמר רב ששת^ עד פלגא,רב הונא בר יהודה,רב הונא בר יהודה,רב הונא בר יהודה,רב ששת,רב ששת,רב ששת,רב הונא בר יהודה-רב ששת, אמר ,אמר,1,Arakhin,84192,84218,23B,84192,917,2938
285,פגע בו בשבת מאי אמר ^רב חייא בר אמי משמיה דחולפנא^ נותנה למשמר היוצא,רב חייא בר אמי,רב חייא בר אמי,רב חייא בר אמי,דחולפנא,חולפנא,חולפנא,חולפנא-רב חייא בר אמי, משמיה ,משמיה,1,Arakhin,102709,102736,28B,102709,1101,1062
329,בעיר.  ואלא הא כתיב בית אמר ^רב חסדא אמר רב קטינא^ חולסית ומצולה איכא בינייהו והתניא,רב חסדא,רב חסדא,רב חסדא,רב קטינא,רב קטינא,רב קטינא,רב חסדא-רב קטינא, אמר ,אמר,1,Arakhin,117877,117896,32A,117877,1345,2556
348,אותו היום בלבד.  איני והא אמר ^רב יהודה אמר רב^ שתים עשרה שעות הוי היום,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב,רב,רב,רב-רב יהודה בר יחזקאל, אמר ,אמר,1,Avodah Zarah,6948,6962,3B,6948,1394,2578
350,יומם יצוה ה׳ חסדו וגו׳.  אמר ^רב יהודה אמר שמואל^ מאי דכתיב ותעשה אדם כדגי,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,שמואל,שמואל,שמואל,רב יהודה בר יחזקאל-שמואל, אמר ,אמר,1,Avodah Zarah,8564,8581,3B,8564,1394,2763
353,והמה דברו עלי כזבים.  והיינו דאמר ^רב פפי משמיה דרבא^ מאי דכתיב ואני יסרתי חזקתי,רב פפי,רב פפי,רב פפי,דרבא,רבא,רבא,רב פפי-רבא, משמיה ,משמיה,1,Avodah Zarah,10714,10730,4A,10714,2533,2582
355,אתי כל הימים וגו׳.  והיינו דאמר ^רבי יוחנן משום רבי שמעון בן יוחאי^ לא דוד ראוי לאותו מעשה,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבי שמעון בן יוחאי,רבי שמעון בן יוחאי,רבי שמעון בן יוחאי,רבי יוחנן-רבי שמעון בן יוחאי, משום ,משום,1,Avodah Zarah,14867,14899,4B,14867,1570,2830
357,ישי שהקים עולה של תשובה.  ואמר ^רבי שמואל בר נחמני אמר רבי יונתן^ כל העושה מצוה אחת בעולם,רבי שמואל בר נחמני,רבי שמואל בר נחמני,רבי שמואל בר נחמני,רבי יונתן,רבי יונתן,רבי יונתן בן אלעזר איש הבירה,רבי יונתן בן אלעזר איש הבירה-רבי שמואל בר נחמני, אמר ,אמר,1,Avodah Zarah,15459,15490,5A,15459,2800,1624
358,אדעתיה דרביה עד ארבעין שנין.  אמר ^רבי יוחנן משום רבי בנאה^ מאי דכתיב אשריכם זרעי על,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבי בנאה,רבי בנאה,רבי בנאה,רבי בנאה-רבי יוחנן, משום ,משום,1,Avodah Zarah,18227,18249,5B,18227,1570,687
359,נמי שלשה לאחריהם.  תא שמע דאמר ^רב תחליפא בר אבדימי אמר שמואל^ נוצרים לדברי רבי ישמעאל לעולם,רב תחליפא בר אבדימי,רב תחליפא בר אבדימי,רב תחליפא בר אבדימי,שמואל,שמואל,שמואל,רב תחליפא בר אבדימי-שמואל, אמר ,אמר,1,Avodah Zarah,20007,20035,6A,20007,2952,2763
380,הנראה שתעמוד עמי לערב אמר ^רבה בר בר חנה אמר רבי יוחנן^ הלכתא כרבי יהושע בן קרחה,רבה בר בר חנה,רבה בר בר חנה,רבה בר בר חנה,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבה בר בר חנה-רבי יוחנן, אמר ,אמר,1,Avodah Zarah,24265,24291,7A,24265,2594,1570
385,שנאמר שובו בנים שובבים אמר ^רבי יצחק איש כפר עכו אמר רבי יוחנן^ הלכתא כאותו הזוג,רבי יצחק איש כפר עכו,רבי יצחק איש כפר עכו,רבי יצחק עטושיא,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבי יוחנן-רבי יצחק עטושיא, אמר ,אמר,1,Avodah Zarah,24920,24953,7B,24920,1943,1570
386,אסור לאחר אידיהן מותר.  גמ׳ אמר ^רב תחליפא בר אבדימי אמר שמואל^ נוצרי לדברי רבי ישמעאל לעולם,רב תחליפא בר אבדימי,רב תחליפא בר אבדימי,רב תחליפא בר אבדימי,שמואל,שמואל,שמואל,רב תחליפא בר אבדימי-שמואל, אמר ,אמר,1,Avodah Zarah,25085,25113,7B,25085,2952,2763
402,שואל אדם צרכיו בשומע תפלה.  אמר ^רב יהודה אמר שמואל^ הלכה שואל אדם צרכיו בשומע,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,שמואל,שמואל,שמואל,רב יהודה בר יחזקאל-שמואל, אמר ,אמר,1,Avodah Zarah,27236,27253,8A,27236,1394,2763
403,אדם צרכיו בשומע תפלה אמר ^רב יהודה בריה דרב שמואל בר שילת משמיה דרב^ אף על פי שאמרו שואל,רב יהודה בריה דרב שמואל בר שילת,רב יהודה בריה דרב שמואל בר שילת,רב יהודה בריה דרב שמואל בר שילת,דרב,רב,רב,רב-רב יהודה בריה דרב שמואל בר שילת, משמיה ,משמיה,1,Avodah Zarah,27290,27330,8A,27290,1490,2578
404,מעין כל ברכה וברכה אומר.  אמר ^רב חייא בר אשי אמר רב^ אף על פי שאמרו שואל,רב חייא בר אשי,רב חייא בר אשי,רב חייא בר אשי,רב,רב,רב,רב-רב חייא בר אשי, אמר ,אמר,1,Avodah Zarah,27437,27457,8A,27437,1102,2578
405,לה׳ משור פר מקרן מפריס.  ואמר ^רב יהודה אמר שמואל^ שור שהקריב אדם הראשון קרן,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,שמואל,שמואל,שמואל,רב יהודה בר יחזקאל-שמואל, אמר ,אמר,1,Avodah Zarah,28957,28974,8A,28957,1394,2763
408,שתא ומעיקרא מאימת אסור אמר ^רב פפא משמיה דרבא^ מכי רמו שערי באסינתי,רב פפא,רב פפא,רב פפא,דרבא,רבא,רבא,רב פפא-רבא, משמיה ,משמיה,1,Avodah Zarah,30325,30341,8B,30325,2518,2582
410,הוא.  וקרטסים וכו׳ מאי קרטסים אמר ^רב יהודה אמר שמואל^ יום שתפסה בו רומי מלכות,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,שמואל,שמואל,שמואל,רב יהודה בר יחזקאל-שמואל, אמר ,אמר,1,Avodah Zarah,30558,30575,8B,30558,1394,2763
413,דיני קנסות סלקא דעתך והאמר ^רב יהודה אמר רב^ ברם זכור אותו האיש לטוב,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב,רב,רב,רב-רב יהודה בר יחזקאל, אמר ,אמר,1,Avodah Zarah,31790,31804,8B,31790,1394,2578
435,לה שני גוים בבטנך אמר ^רב יהודה אמר רב^ אל תקרי גוים אלא גיים,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב,רב,רב,רב-רב יהודה בר יחזקאל, אמר ,אמר,1,Avodah Zarah,39860,39874,11A,39860,1394,2578
438,יום תגלחת זקנו והעברת בלוריתו.  אמר ^רב יהודה אמר שמואל^ עוד אחרת יש  להם,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,שמואל,שמואל,שמואל,רב יהודה בר יחזקאל-שמואל, אמר ,אמר,1,Avodah Zarah,41418,41435,11B,41418,1394,2763
439,מוהרנקי ואקניתיה בחנוני ועשר באדר.  אמר ^רב חנן בר רב חסדא אמר רב^ ואמרי לה אמר רב חנן,רב חנן בר רב חסדא,רב חנן בר רב חסדא,רב חנן בר רב חסדא,רב,רב,רב,רב-רב חנן בר רב חסדא, אמר ,אמר,1,Avodah Zarah,42137,42160,11B,42137,1318,2578
441,אמר רב ואמרי לה אמר ^רב חנן בר רבא אמר רב^ חמשה בתי עבודה זרה קבועין,רב חנן בר רבא,רב חנן בר רבא,רב חנן בר רבא,רב,רב,רב,רב-רב חנן בר רבא, אמר ,אמר,1,Avodah Zarah,42175,42194,11B,42175,1327,2578
445,היכי דמי חוצה לה אמר ^רבי שמעון בן לקיש משום רבי חנינא^ כגון עטלוזא של עזה ואיכא,רבי שמעון בן לקיש,רבי שמעון בן לקיש,רבי שמעון בן לקיש,רבי חנינא,רבי חנינא,רבי חנינא בר חמא,רבי חנינא בר חמא-רבי שמעון בן לקיש, משום ,משום,1,Avodah Zarah,42910,42941,11B,42910,2879,1212
447,נראה אילימא דלא מתחזי והאמר ^רב יהודה אמר רב^ כל מקום שאסרו חכמים מפני,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב,רב,רב,רב-רב יהודה בר יחזקאל, אמר ,אמר,1,Avodah Zarah,44117,44131,12A,44117,1394,2578
462,אלעזר פירי דארזא.  בנות שוח אמר ^רבה בר בר חנה אמר רבי יוחנן^ תאיני חיוראתא ופטוטרות אמר רבה,רבה בר בר חנה,רבה בר בר חנה,רבה בר בר חנה,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבה בר בר חנה-רבי יוחנן, אמר ,אמר,1,Avodah Zarah,49203,49229,14A,49203,2594,1570
464,יוחנן תאיני חיוראתא ופטוטרות אמר ^רבה בר בר חנה אמר רבי יוחנן^ בפטוטרותיהן שנו,רבה בר בר חנה,רבה בר בר חנה,רבה בר בר חנה,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבה בר בר חנה-רבי יוחנן, אמר ,אמר,1,Avodah Zarah,49258,49284,14A,49258,2594,1570
466,רבי יוחנן בפטוטרותיהן שנו.  לבונה אמר ^רבי יצחק אמר רבי שמעון בן לקיש^ לבונה זכה תנא ומכולן מוכרין,רבי יצחק,רבי יצחק,רבי יצחק,רבי שמעון בן לקיש,רבי שמעון בן לקיש,רבי שמעון בן לקיש,רבי יצחק-רבי שמעון בן לקיש, אמר ,אמר,1,Avodah Zarah,49314,49343,14A,49314,1885,2879
467,דלפני לא מפקדינן.  ותרנגול לבן אמר ^רבי יונה אמר רבי זירא^ אמר רב זביד ואיכא דמתני,רבי יונה,רבי יונה,רבי יונה,רבי זירא,רבי זירא,רבי זירא,רבי זירא-רבי יונה, אמר ,אמר,1,Avodah Zarah,49550,49570,14A,49550,1615,1017
468,לבן אמר רבי יונה אמר ^רבי זירא אמר רב זביד^ ואיכא דמתני אמר רבי יונה,רבי זירא,רבי זירא,רבי זירא,רב זביד,רב זביד,רב זביד,רב זביד-רבי זירא, אמר ,אמר,1,Avodah Zarah,49563,49582,14A,49563,1017,993
470,רב זביד ואיכא דמתני אמר ^רבי יונה אמר רבי זירא^ תרנגול למי מותר למכור לו,רבי יונה,רבי יונה,רבי יונה,רבי זירא,רבי זירא,רבי זירא,רבי זירא-רבי יונה, אמר ,אמר,1,Avodah Zarah,49600,49620,14A,49600,1615,1017
477,ואף רב הדר ביה דאמר ^רב תחליפא אמר רב שילא בר אבימי^ משמיה דרב גוי חס על,רב תחליפא,רב תחליפא,רב תחליפא,רב שילא בר אבימי,רב שילא בר אבימי,רב שילא בר אבימי,רב שילא בר אבימי-רב תחליפא, אמר ,אמר,1,Avodah Zarah,52259,52288,15A,52259,2948,21244
478,ביה דאמר רב תחליפא אמר ^רב שילא בר אבימי משמיה דרב^ גוי חס על בהמתו שלא,רב שילא בר אבימי,רב שילא בר אבימי,רב שילא בר אבימי,דרב,רב,רב,רב-רב שילא בר אבימי, משמיה ,משמיה,1,Avodah Zarah,52273,52298,15A,52273,21244,2578
479,תשובה ישראל עביד תשובה והאמר ^רב נחמן אמר רבה בר אבוה^ כדרך שאמרו אסור למכור לגוי,רב נחמן,רב נחמן,רב נחמן בר יעקב,רבה בר אבוה,רבה בר אבוה,רבה בר אבוה,רב נחמן בר יעקב-רבה בר אבוה, אמר ,אמר,1,Avodah Zarah,55251,55273,15B,55251,2285,2586
480,שלים זינייהו מערק ערקי אמר ^רב נחמן אמר רבה בר אבוה^ הלכה כיש אומרים,רב נחמן,רב נחמן,רב נחמן בר יעקב,רבה בר אבוה,רבה בר אבוה,רבה בר אבוה,רב נחמן בר יעקב-רבה בר אבוה, אמר ,אמר,1,Avodah Zarah,55875,55897,16A,55875,2285,2586
